name of company,salary
SCHNEIDER ELECTRIC,"₹443,321/yr"
3DI,"₹385,087/yr"
SISL,"₹529,310/yr"
SNAPWORK TECHNOLOGY,"₹345,000/yr"
PINSTORM,"₹745,571/yr"
OMNITECH INFOSOLUTIONS,"₹649,735/yr"
BIZONGO,"₹1,835,879/yr"
BSG ITSOFT,"₹20,399/mo"
WINMAX TECHNOLOGIES,"₹459,925/yr"
SMARTLY BUILT,"₹18,122/mo"
PEOPLE GROUP,"₹334,909/yr"
INFINI SYSTEMS,"₹320,906/yr"
CDAC MUMBAI,"₹265,993/yr"
ETOUCH SYSTEMS,"₹362,598/yr"
LNT GROUP,"₹60,000/mo"
PLAYSPAN,"₹1,058,620/yr"
MAGNA INFOTECH (INDIA),"₹51,357/mo"
ADOBE,"₹109,643/yr"
INSOLUTIONS GLOBAL,"₹438,571/yr"
AVHAN TECHNOLOGIES,"₹7,057/mo"
IIFL,"₹37,439/mo"
ARK,"₹352,873/yr"
APNAPAISA MARKETING AND SERVICE,"₹730,952/yr"
SPEAKWELL,"₹6,579/mo"
SHEZAR WEB TECHNOLOGIES,"₹443,321/yr"
THOMAS COOK,"₹44,954/mo"
CONTINUUM,"₹460,500/yr"
SHEOREY DIGITAL SYSTEMS,"₹34,238/mo"
XALTED INFORMATION SYSTEMS,"₹532,986/yr"
SERVPRO TECHNOLOGIES,"₹524,146/yr"
FINACUS SOLUTIONS,"₹194,921/yr"
HEALTH PRIME SERVICES (INDIA) PVT.,"₹374,390/yr"
COMPUNNEL,"₹454,236/yr"
TIME WARNER CABLE,"₹398,701/yr"
IVY MOBILITY,"₹591,561/yr"
TRANSASIA BIOMEDICALS,"₹534,843/yr"
BALAJI INTER INFOSYSTEMS,"₹30,410/mo"
CYLSYS SOFTWARE SOLUTION,"₹9,410/mo"
CYBERMARINE,"₹22,327/mo"
RAMESH & CO.,"₹509,966/yr"
BIZMATICS,"₹332,491/yr"
TOTAL QUALITY LOGISTICS,"₹374,390/yr"
MAA TECHNOLOGIES,"₹487,301/yr"
LOGIC ROOTS,"₹8,234/mo"
FLSMIDTH,"₹31,199/mo"
UNITED ONLINE,"₹503,278/yr"
GENESYS INTERNATIONAL,"₹282,299/yr"
QUODECK,"₹43,857/mo"
SHAWMAN SOFTWARE,"₹11,083/mo"
INTELLVISIONS SOFTWARE,"₹336,951/yr"
ARICENT,"₹32,091/mo"
NORTHERN TRUST,"₹19,996/mo"
SAMSUNG R&D INSTITUTE INDIA,"₹1,374,627/yr"
THYROCARE TECHNOLOGIES,"₹220,863/yr"
C&A,"₹27,411/mo"
WEBIAN TECHNOLOGIES,"₹11,513/mo"
SPANCO,"₹679,203/yr"
AASAANJOBS.COM,"₹635,172/yr"
DUSANE INFOTECH,"₹26,742/mo"
AYAM,"₹1,497,560/yr"
UBONA,"₹390,727/yr"
IT SHASTRA,"₹11,498/mo"
SPEEDLABS,"₹44,332/mo"
MEDIA NUCLEUS,"₹588,122/yr"
NAYAMODE,"₹36,260/mo"
FYND,"₹1,172,569/yr"
PNB METLIFE,"₹164,464/mo"
AARUSHI IT SOLUTIONS,"₹31,979/mo"
AVANADE,"₹515,361/yr"
MICROSOFT,"₹1,176,245/yr"
EDELWEISS FINANCIAL SERVICES,"₹420,548/yr"
PRAGMATIX,"₹305,980/yr"
ATIDAN,"₹935,975/yr"
SPAREAGE SEALS,"₹516,448/yr"
CHEERS INTERACTIVE,"₹215,438/yr"
NETGAINS NETWORK SOLUTIONS,"₹197,357/yr"
SOFTTACT,"₹8,159/mo"
SYNERGY,"₹713,953/yr"
PAGALGUY,"₹754,035/yr"
SOCIAL NEWSIA,"₹20,399/mo"
VARA UNITED,"₹9,627/mo"
FREESTONE INFOTECH,"₹27,596/mo"
GRID ANT TECHNOLOGIES,"₹1,213,438/yr"
JITESH PATIL,"₹16,807/mo"
DELTECS INFOTECH,"₹474,742/yr"
